('goto', <Point 0,64>, <Point 0,-32>)
['end']
Game over
         10939908 function calls (10938793 primitive calls) in 41.299 CPU seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
        1    0.000    0.000    0.000    0.000 unittest.py:177(TestCase)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
       18    0.000    0.000    0.000    0.000 core.py:677(__init__)
      208    0.000    0.000    0.000    0.000 pkg_resources.py:1483(has_metadata)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:850(resource_exists)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:2125(version)
      102    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
       66    0.000    0.000    0.000    0.000 numerictypes.py:108(english_lower)
        1    0.000    0.000    0.000    0.000 spawn.py:7(<module>)
      127    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      166    0.000    0.000    0.000    0.000 sre_parse.py:140(__setitem__)
        8    0.000    0.000    0.000    0.000 utils.py:83(deprecate)
       14    0.000    0.000    0.000    0.000 __init__.py:136(_check_size)
      144    0.000    0.000    0.000    0.000 pkg_resources.py:1480(__init__)
       24    0.000    0.000    0.000    0.000 {_sre.compile}
       48    0.000    0.000    0.000    0.000 sre_compile.py:480(isstring)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:866(resource_stream)
       10    0.000    0.000    0.000    0.000 {pygame.transform.chop}
        2    0.000    0.000    0.000    0.000 pkg_resources.py:1240(_setup_prefix)
        4    0.000    0.000    0.000    0.000 __init__.py:83(CFUNCTYPE)
      102    0.000    0.000    0.000    0.000 pkg_resources.py:665(_added_new)
        1    0.000    0.000    0.000    0.000 _iotools.py:4(<module>)
      214    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
       38    0.000    0.000    0.000    0.000 sre_parse.py:231(_class_escape)
       75    0.000    0.000    0.000    0.000 inspect.py:825(strseq)
       30    0.000    0.000    0.000    0.000 numerictypes.py:402(_add_array_type)
      113    0.000    0.000    0.000    0.000 pkg_resources.py:2585(cls)
        1    0.000    0.000    0.000    0.000 numerictypes.py:552(_construct_lookups)
        1    0.000    0.000    0.000    0.000 threading.py:744(__init__)
        8    0.000    0.000    0.000    0.000 sre_parse.py:222(isname)
       38    0.000    0.000    0.000    0.000 inspect.py:67(ismethod)
       10    0.000    0.000    0.000    0.000 {method 'copy' of 'pygame.Surface' objects}
       61    0.000    0.000    0.000    0.000 pkgutil.py:229(__init__)
       43    0.000    0.000    0.000    0.000 inspect.py:836(<lambda>)
      113    0.000    0.000    0.000    0.000 opcode.py:27(def_op)
        1    0.000    0.000    0.000    0.000 random.py:90(__init__)
        1    0.000    0.000    0.000    0.000 defchararray.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 random.py:99(seed)
        1    0.000    0.000    0.000    0.000 nosetester.py:5(<module>)
       30    0.000    0.000    0.000    0.000 collections.py:61(<genexpr>)
       24    0.000    0.000    0.000    0.000 posixpath.py:109(basename)
       18    0.000    0.000    0.000    0.000 numerictypes.py:197(_evalname)
      132    0.000    0.000    0.000    0.000 posixpath.py:42(normcase)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:239(POINTER)
        1    0.000    0.000    0.000    0.000 token.py:3(<module>)
       38    0.000    0.000    0.000    0.000 inspect.py:142(isfunction)
        1    0.000    0.000    0.000    0.000 numpytest.py:1(<module>)
      107    0.000    0.000    0.000    0.000 {imp.acquire_lock}
        1    0.000    0.000    0.000    0.000 ufunclike.py:4(<module>)
       29    0.000    0.000    0.000    0.000 <string>:8(__new__)
       34    0.000    0.000    0.000    0.000 numerictypes.py:135(english_upper)
       12    0.000    0.000    0.000    0.000 ctypeslib.py:255(prep_simple)
      107    0.000    0.000    0.000    0.000 {imp.release_lock}
       66    0.000    0.000    0.000    0.000 pkg_resources.py:1532(__init__)
       41    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
      100    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 machar.py:4(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:310(_add_integer_aliases)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:2639(_initialize)
        1    0.000    0.000    0.000    0.000 threading.py:426(__init__)
       49    0.000    0.000    0.000    0.000 {repr}
        1    0.000    0.000    0.000    0.000 numerictypes.py:387(_construct_char_code_lookup)
       12    0.000    0.000    0.000    0.000 posixpath.py:79(split)
       29    0.000    0.000    0.000    0.000 string.py:308(join)
       29    0.000    0.000    0.000    0.000 inspect.py:209(iscode)
       58    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x82357c0}
        1    0.000    0.000    0.000    0.000 scimath.py:16(<module>)
        1    0.000    0.000    0.000    0.000 Controller.py:11(__init__)
       10    0.000    0.000    0.000    0.000 core.py:2108(__init__)
        1    0.000    0.000    0.000    0.000 os.py:747(urandom)
        6    0.000    0.000    0.000    0.000 core.py:817(__init__)
        2    0.000    0.000    0.000    0.000 {numpy.core.multiarray.array}
        1    0.000    0.000    0.000    0.000 core.py:2431(__array_finalize__)
       11    0.000    0.000    0.000    0.000 opcode.py:31(name_op)
        1    0.000    0.000    0.000    0.000 util.py:16(get_platform)
        1    0.000    0.000    0.000    0.000 colordict.py:21(<module>)
       19    0.000    0.000    0.000    0.000 tokenize.py:44(group)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1494(get_metadata_lines)
        7    0.000    0.000    0.000    0.000 {posix.getcwd}
       37    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 format.py:57(<module>)
       11    0.000    0.000    0.000    0.000 numerictypes.py:162(english_capitalize)
        1    0.000    0.000    0.000    0.000 Point.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _internal.py:202(_getintp_ctype)
        6    0.000    0.000    0.000    0.000 {method 'set_colorkey' of 'pygame.Surface' objects}
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1486(get_metadata)
        1    0.000    0.000    0.000    0.000 core.py:2407(_update_from)
        2    0.000    0.000    0.000    0.000 {dir}
        1    0.000    0.000    0.000    0.000 helper.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:363(PyDLL)
       64    0.000    0.000    0.000    0.000 {globals}
       30    0.000    0.000    0.000    0.000 collections.py:60(<genexpr>)
       24    0.000    0.000    0.000    0.000 sre_parse.py:73(__init__)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:2(<module>)
        1    0.000    0.000    0.000    0.000 nosetester.py:89(NoseTester)
       18    0.000    0.000    0.000    0.000 {numpy.core.multiarray.empty}
        1    0.000    0.000    0.000    0.000 __init__.py:319(CDLL)
        2    0.000    0.000    0.000    0.000 threading.py:176(Condition)
        1    0.000    0.000    0.000    0.000 compat.py:21(get_BytesIO)
       10    0.000    0.000    0.000    0.000 core.py:2114(getdoc)
        1    0.000    0.000    0.000    0.000 threading.py:359(Event)
        1    0.000    0.000    0.000    0.000 numeric.py:1775(seterr)
       21    0.000    0.000    0.000    0.000 {sys._getframe}
        1    0.000    0.000    0.000    0.000 __init__.py:469(PYFUNCTYPE)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:2(<module>)
        1    0.000    0.000    0.000    0.000 ShipModel.py:1(<module>)
        1    0.000    0.000    0.000    0.000 defmatrix.py:154(matrix)
        2    0.000    0.000    0.000    0.000 pkg_resources.py:1137(__init__)
       40    0.000    0.000    0.000    0.000 sre_parse.py:216(isident)
        3    0.000    0.000    0.000    0.000 Preferences.py:3(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:366(__init__)
       44    0.000    0.000    0.000    0.000 {_ctypes.sizeof}
       32    0.000    0.000    0.000    0.000 {_sre.getlower}
        1    0.000    0.000    0.000    0.000 _iotools.py:261(StringConverter)
       18    0.000    0.000    0.000    0.000 {_struct.calcsize}
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        3    0.000    0.000    0.000    0.000 nosetester.py:62(_docmethod)
       15    0.000    0.000    0.000    0.000 nosetester.py:9(get_package_name)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1150(has_resource)
        1    0.000    0.000    0.000    0.000 __init__.py:337(__init__)
        2    0.000    0.000    0.000    0.000 threading.py:181(__init__)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1271(get_resource_stream)
       10    0.000    0.000    0.000    0.000 sre_compile.py:57(fixup)
        1    0.000    0.000    0.000    0.000 Selection.py:5(__init__)
       15    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 threading.py:414(Thread)
